Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.5486,0.5,0
2,0.0,0,0,0,0.5486,0.5,0
3,0.0,0,0,0,2.0897,0.5,0
4,0.0,0,0,0,2.0897,0.5,0
5,0.0,0,0,0,4.6242,0.5,0
6,0.0,0,0,0,4.6242,0.5,0
7,0.0,0,0,0,7.8261,0.5,0
8,0.0,0,0,0,7.8261,0.5,0
9,0.0,0,0,0,13.623,0.5,0
10,0.0,0,0,0,13.623,0.5,0
11,0.0,0,0,0,16.7131,0.5,0
12,0.0,0,0,0,16.7131,0.5,0
13,0.0,0,0,0,16.849,0.5,0
14,0.0,0,0,0,16.849,0.5,0
15,0.0,0,0,0,15.7485,0.5,0
16,0.0,0,0,0,15.7485,0.5,0
17,0.0,0,0,0,14.2599,0.5,0
18,0.0,0,0,0,14.2599,0.5,0
19,0.0,0,0,0,12.6045,0.5,0
20,0.0,0,0,0,12.6045,0.5,0
21,0.0,0,0,0,10.5877,0.5,0
22,0.0,0,0,0,10.5877,0.5,0
23,0.0,0,0,0,8.5162,0.5,0
24,0.0,0,0,0,8.5162,0.5,0
25,0.0,0,0,0,6.8387,0.5,0
26,0.0,0,0,0,6.8387,0.5,0
27,0.0,0,0,0,4.8375,0.5,0
28,0.0,0,0,0,4.8375,0.5,0
29,0.0,0,0,0,2.7117,0.5,0
